,WQ,nvar,var,random_state,r2,rmse,mae,smape,r2_test,rmse_test,mae_test,smape_test
0,Tur,4,"['LH_B2B3B4', 'NR_B3B7', 'NR_B2B7', 'NR_B3B6']",1,0.656684160232544,1.5647088173752353,1.278978839163053,0.5433862950161437,5.068511486053467,3.9668452429029157,2.0582183587349068,0.4408119199277011
1,Tur,4,"['B3_3', 'B2_3', 'B1_3', 'LH_B4B5B6']",1,0.9215710163116455,2.9452170187677154,1.7929281368093974,0.519552739978805,5.38251256942749,7.064976067458068,3.6190669779050153,0.6761800304878586
2,Tur,4,"['LH_B4B5B6', 'LH_B5B6B7', 'B5_3', 'B5_2']",1,0.4433124363422394,3.5851463191089077,2.585762895163843,0.628657356727343,0.7374396324157715,4.448249858352721,3.07621254031941,0.6458336780002153
3,Tur,4,"['LH_B4B5B6', 'LH_B5B6B7', 'B5_3', 'B5_2']",1,0.5414567589759827,3.757903233723101,2.5879409874899912,0.6223247803810309,0.9221115708351135,4.7089438070701295,2.7085019564224506,0.4498700638222368
4,Tur,4,"['LH_B4B5B6', 'LH_B5B6B7', 'B5_3', 'B5_2']",1,0.5843599438667297,4.02271822260895,2.7433479561239986,0.6093613556642483,0.2725655138492584,2.324121112706214,1.647707880957652,0.35814843233170734
0,Tur,5,"['LH_B2B3B4', 'NR_B3B7', 'NR_B2B7', 'NR_B3B6', 'NR_B1B7']",1,0.6959711909294128,1.6085791772727798,1.3292213197481835,0.5565416521422616,5.069718360900879,3.9802947196020715,2.067904524883981,0.4439066290986564
1,Tur,5,"['B3_3', 'B2_3', 'B1_3', 'LH_B4B5B6', 'LH_B5B6B7']",1,0.9031639695167542,2.917680890308554,1.7854255268129253,0.5182662131891791,5.549318313598633,7.163412722087685,3.624166739189019,0.6727359482310968
2,Tur,5,"['LH_B4B5B6', 'LH_B5B6B7', 'B5_3', 'B5_2', 'B3_3']",1,0.4732491374015808,3.704039694376205,2.5859638553554727,0.6251289683669412,0.7382792830467224,4.208098134222411,2.9523885112697794,0.6375682283668791
3,Tur,5,"['LH_B4B5B6', 'LH_B5B6B7', 'B5_3', 'B5_2', 'LH_B2B3B4']",1,0.5395308136940002,3.770519207208002,2.6408018164715528,0.6303054463443837,0.8565839529037476,4.5672229812991905,2.6946451381101446,0.4504653140703925
4,Tur,5,"['LH_B4B5B6', 'LH_B5B6B7', 'B5_3', 'B5_2', 'LH_B2B3B4']",1,0.5622681379318237,3.9771708217641004,2.744030752666926,0.6120444559730445,0.22657449543476105,2.2749835956015763,1.675469792899439,0.36577549436082396
0,Tur,6,"['LH_B2B3B4', 'NR_B3B7', 'NR_B2B7', 'NR_B3B6', 'NR_B1B7', 'NR_B3B8A']",1,0.7224557995796204,1.6333927589427808,1.3571921793080994,0.5640011656238872,5.094476222991943,3.990901241516007,2.073766627554166,0.4454655474930488
