Date,Chla_Actual,Chla_Predicted,SS_Actual,SS_Predicted,Tur_Actual,Tur_Predicted
2017-11-01,1.4,3.093220338983051,7.3,4.816943546987325,1.2,3.5793587117501526
2017-11-01,0.5,3.093220338983051,4.6,5.218762677396824,2.3,3.5593220338983045
2017-11-01,0.6,3.182676108409326,7.3,5.837054663665625,4.2,3.5593220338983045
2017-11-01,1.3,3.093220338983051,8.2,5.82071955790263,5.8,3.5593220338983045
2017-11-01,0.3,3.5377470241622815,3.5,4.192372881355933,2.7,3.5593220338983045
2017-11-01,0.7,3.093220338983051,12.0,6.042713348461711,2.4,3.5593220338983045
2017-11-01,0.5,3.1632467200673298,9.0,5.8247176260536735,2.9,3.5593220338983045
2017-11-01,0.8,3.4930100343202084,9.9,6.0464513571789364,1.9,3.5593220338983045
2017-11-01,1.0,3.15846154031249,7.3,5.533854009522775,1.5,3.5593220338983045
2017-11-01,0.4,3.6941346016375456,4.6,5.282334479370947,1.7,3.5593220338983045
2017-11-01,0.5,3.2756574296537755,9.2,5.851137082289661,1.5,3.7048236751411943
2017-11-16,1.3,3.601058673743745,4.5,6.012815283615749,2.9,3.5593220338983045
2017-11-16,1.0,3.093220338983051,7.3,5.222463321348765,0.4,3.5593220338983045
2017-11-16,17.0,3.3696142150786867,7.3,6.210963674069337,7.5,3.5593220338983045
2017-11-16,0.5,3.093220338983051,6.4,5.494064787801047,0.7,3.5593220338983045
2017-11-16,7.3,3.1937438562340534,26.0,6.2685922238800735,33.7,3.5593220338983045
2017-11-16,1.1,3.093220338983051,8.5,6.198843720547841,0.5,3.647608647298518
2017-11-16,24.0,3.093220338983051,9.9,6.214465138627048,1.2,4.435455339974527
2017-12-06,21.0,3.3179808513676945,14.0,6.21435994303847,1.8,3.5593220338983045
2017-12-06,21.0,3.2077671538867887,9.6,6.1744956061406535,0.9,4.3103698999406586
2017-12-06,0.5,3.093220338983051,8.3,6.219914918814451,4.6,4.335182289519982
2017-12-06,0.5,3.093220338983051,8.4,6.129866139247867,2.1,4.402830322233681
2017-12-06,0.4,3.093220338983051,9.6,5.888626242577222,2.6,3.808759737331043
2017-12-06,0.3,3.093220338983051,11.0,6.167349656666396,5.0,3.7086605135987045
2017-12-06,1.3,3.093220338983051,12.0,6.235661302493073,3.5,3.8489187947901913
2017-12-06,1.7,3.093220338983051,16.0,6.241581061698614,6.0,3.7371865362400087
2017-12-06,5.6,3.093220338983051,28.0,6.249695292507885,12.9,3.5593220338983045
2017-12-06,7.8,3.093220338983051,39.0,6.258004863700004,43.2,3.5593220338983045
2017-12-06,1.2,3.093220338983051,27.0,6.245625634896692,6.2,3.811117642583166
2017-12-06,4.6,3.093220338983051,9.8,6.141386241019671,2.2,4.040466014629042
2017-12-11,11.0,3.093220338983051,11.0,6.180942678124058,4.4,3.5593220338983045
2017-12-11,3.0,3.093220338983051,10.0,6.190852970535689,2.7,3.669367229177103
2017-12-11,3.9,3.1983050847457624,12.0,9.0849356187984,3.7,4.593214330055522
2017-12-11,3.5,3.1983050847457624,8.1,8.000631713809204,1.9,4.111299435028249
2017-12-11,5.7,3.1983050847457624,8.1,8.74898787858919,2.3,4.447834796100812
2017-12-11,12.0,3.1983050847457624,2.0,7.864440986261374,0.8,4.111299435028249
2017-12-11,3.4,3.1983050847457624,2.1,7.786276988878417,0.7,4.111299435028249
2017-12-11,1.9,4.6111192289349585,29.0,11.745274830677657,12.8,11.10545478088261
2018-01-15,4.0,3.1983050847457624,1.7,7.350528248419378,0.7,4.111299435028249
2018-01-15,5.7,3.1983050847457624,12.0,9.498514124828521,3.2,4.865167619479174
2018-01-15,17.0,3.1983050847457624,2.8,8.58135999018511,1.1,4.111299435028249
2018-01-15,0.9,3.1983050847457624,11.0,9.655356846897376,3.9,5.218273239158953
2018-01-15,5.8,3.1983050847457624,3.1,7.769298708928539,1.3,4.111299435028249
2018-01-15,5.9,3.1983050847457624,1.7,7.7216495166002375,0.7,4.111299435028249
2018-03-16,0.9,3.1983050847457624,14.0,9.879380395206708,5.0,5.491636293433077
2018-03-16,2.8,4.243851339532436,26.0,11.467246584034328,12.2,9.314270419659582
2018-03-16,1.3,3.1983050847457624,7.2,8.926243305592186,4.3,5.045380095100446
2018-03-16,0.6,3.1983050847457624,7.6,9.544530525705184,4.8,5.556671949026793
2018-03-16,1.5,3.1983050847457624,11.0,9.04100278202922,5.7,4.663751243710253
2018-03-16,1.6,3.1983050847457624,11.0,8.74097731609859,5.7,4.545690904869217
2018-03-16,1.1,3.1983050847457624,3.2,8.941985493302978,1.9,4.917350931366232
2018-03-16,1.5,3.1983050847457624,7.5,8.813468206024234,6.8,4.466089285164228
2018-03-16,0.9,3.1983050847457624,8.8,10.987117181306353,0.7,5.0189455891283865
2018-03-16,0.9,3.1983050847457624,9.0,10.29957344281724,0.4,4.111299435028249
2018-03-16,1.4,3.5099264573218734,6.8,10.31270202597057,0.7,4.111299435028249
2018-03-16,1.5,5.175917773787827,11.0,10.389319223950817,0.8,4.111299435028249
2018-03-16,3.9,6.416906806863429,7.6,10.933529754016037,1.5,5.262957484178806
2018-03-16,1.0,7.390980604376285,10.0,11.682793533588244,3.7,10.005109443076101
2018-03-16,1.4,6.744325767808035,6.9,11.264814067880407,6.3,7.2008820945233865
2018-03-16,2.1,7.9714882006695795,7.0,11.27319221297639,5.1,7.902744133953958
2018-03-21,2.4,8.025609843573966,3.0,10.318936247704832,11.6,4.499932022880703
2018-03-21,1.9,6.596722724404197,2.9,10.852929091441425,12.1,6.454581470100571
2018-03-21,0.9,7.950250892803057,7.6,10.694708118041616,13.1,5.842157900678939
2018-04-05,3.6,7.120781023118097,3.5,10.514689880383711,15.3,5.062075966945282
2018-04-05,4.6,6.586296150917378,3.9,10.698003198322198,15.0,5.389552329110039
