,WQ,nvar,var,random_state,best_layer,best_alpha,best_score,r2,adjusted_r2,corr_model,rmse,mae,smape,r2_test,corr_test,rmse_test,mae_test,smape_test
2,SS,7,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2']",1,10,1e-06,-0.23546751165850816,0.4830128468946068,0.46159917783106974,0.7575818203508109,3.907478431870585,2.8006263963908626,0.5019242652381976,0.027477315459789264,0.3838212104521203,4.547444695431801,3.669842009895956,0.46634679466327195
3,SS,7,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3']",1,4,1e-06,-0.582815102800905,0.1828535167498625,0.15776568612376185,0.5033108095837269,4.508928716896017,3.0300474379654596,0.4966681368991537,0.12080626694332863,0.5348436757722138,6.493831979489108,3.4478793352260797,0.4742714111752117
4,SS,7,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5']",1,6,1e-06,-0.35752862998146673,0.2944469026032991,0.27723829047167226,0.5775625024458524,4.636144693037148,3.138655462319946,0.4957803857606138,0.17368248919241336,0.6472140617571208,5.164464010399976,4.615438336433281,0.8769297990461209
0,SS,8,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6', 'TB_B4B5B6']",1,5,0.09999999999999999,-1.8302209983242457,0.1923698776769346,0.06314905810524407,0.4067824383113577,2.3476279126560047,2.0784448708569543,0.634136431802963,-0.44361400308068544,-0.34470123252566337,2.413812860938512,1.896339182726948,0.41316868078320196
1,SS,8,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3', 'B1_2']",1,10,1e-06,0.005356076374437002,0.1604411112388182,0.09882211022882315,0.4321800287126542,2.23049292689851,1.9096138029736283,0.5019617154070385,-0.7050687612747839,0.3906473462057937,8.1473109889653,5.510178588745646,0.6468536358375279
2,SS,8,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2', 'B4']",1,2,1e-06,-0.04142464303065683,0.43444595651043394,0.40751481158235936,0.7714725192405623,4.08658481901097,2.735746909069018,0.4914718063987689,-0.0504799261141573,0.2975842174324338,4.72581399378061,3.738543800760583,0.4745652891663889
3,SS,8,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3', 'B4']",1,2,1e-06,-0.42154727679519394,0.20848890652303553,0.18059424243574163,0.5233620607157923,4.474182869728011,3.0365577176484972,0.49743112511559634,0.1275651745289763,0.5204386749710558,6.464485907760708,3.4387885363190867,0.4729015705032403
4,SS,8,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5', 'B4']",1,10,1e-06,-0.21073030639501558,0.30360229559691254,0.2841226395296933,0.5783014821508357,4.599304654516839,3.1199218030659686,0.49365233812013953,0.2231786218467916,0.6691384857367358,5.050207970845728,4.51427098362141,0.8683822084301055
0,SS,9,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6', 'TB_B4B5B6', 'NR_B12B8A']",1,5,1e-06,-1.7042989067881273,-0.3296570648867847,-0.57387979109048,9.28904705963248e-17,2.430906758847346,2.1236426314277503,0.6458419346044508,-1.6030765995586451,-1.5079654654957292e-16,2.3947929005414577,1.8626544096523987,0.40507023402157305
1,SS,9,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3', 'B1_2', 'LH_B5B6B7']",1,8,1e-06,0.04593908916012703,0.11997238864273807,0.046636754362966326,0.5477181212853862,2.199862410608832,1.9028332894586728,0.5000792087831369,-0.5288540652554827,0.5958150937653777,7.732351178010559,5.091247139779749,0.5730705465921972
