,WQ,nvar,var,random_state,r2,rmse,mae,smape,r2_test,rmse_test,mae_test,smape_test
4,Chla,9,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2', 'LH_B7B8AB11', 'B8A_2', 'B2_2']",1,0.44439294934272766,0.7090505680502491,0.4969136701570917,1.7927911173371536,0.7741373777389526,0.8691762141400186,0.42576156923450403,1.9045529516819824
0,Chla,10,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2', 'B12_2', 'B8A_3', 'NR_B2B4']",1,2.391843557357788,1.555341337670735,0.6506173798492427,1.9507727907871841,0.44598323106765747,0.6269038763268039,0.4433359479047877,1.9357747752832877
1,Chla,10,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2', 'LH_B7B8AB11', 'NR_B1B12', 'B8A_3']",1,0.3220655024051666,0.5992903943632796,0.45610033284876594,1.9304293559786,1.14911687374115,0.9923489464390025,0.6154717406222279,1.9145038135580414
2,Chla,10,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2', 'B12_3', 'B12_2', 'B11', 'NR_B12B2']",1,0.7140730023384094,0.8598170995559398,0.5597835984891891,1.920564457938588,0.9448888897895813,0.99214778498318,0.7343309951405079,1.9345914111694356
3,Chla,10,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2', 'LH_B1B2B3', 'B4_3', 'B8A_2', 'B2_2']",1,0.7630060315132141,0.8989612244210756,0.5333976905841743,1.7887728384117716,0.19176355004310608,0.48798214214242897,0.3975217147909022,1.8164958770383515
4,Chla,10,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2', 'LH_B7B8AB11', 'B8A_2', 'B2_2', 'B4_3']",1,0.3945770263671875,0.6723007513413702,0.4827694141439785,1.8070543074564087,0.7445631623268127,0.839926741074213,0.4085816018054918,1.8889391397632378
0,Chla,11,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2', 'B12_2', 'B8A_3', 'NR_B2B4', 'NR_B2B5']",1,2.145598888397217,1.478699641337908,0.6653812012351281,1.9593977109847611,0.44679293036460876,0.6323003429797103,0.45022292641220846,1.975792073050709
1,Chla,11,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2', 'LH_B7B8AB11', 'NR_B1B12', 'B8A_3', 'NR_B1B7']",1,0.44940754771232605,0.698746118615646,0.5083168007878304,1.9541585931651506,0.9403844475746155,0.9671288876521406,0.6599970345239169,1.9186548692482661
2,Chla,11,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2', 'B12_3', 'B12_2', 'B11', 'NR_B12B2', 'LH_B7B8AB11']",1,0.676353931427002,0.8257249437699496,0.5531998612481797,1.9345329545014036,0.9344037771224976,0.9810738417959,0.7181955760372067,1.9487328829330628
3,Chla,11,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2', 'LH_B1B2B3', 'B4_3', 'B8A_2', 'B2_2', 'B11_2']",1,0.7188111543655396,0.8723739757475946,0.5594088178129012,1.7927731338580535,0.20142249763011932,0.4945242252675943,0.4005856961332684,1.8411502837717453
