,WQ,nvar,var,random_state,best_layer,best_alpha,best_score,r2,adjusted_r2,corr_model,rmse,mae,smape,r2_test,corr_test,rmse_test,mae_test,smape_test
2,SS,5,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3']",1,6,1e-06,-0.2560557442709023,0.5794221920612541,0.5671245953378989,0.7669969677158307,0.6816024500811704,0.514971701039501,1.6344346876477813,-0.11562839057868723,0.3976164805664522,0.9056631292483447,0.7682021540844772,1.4028967399755667
3,SS,5,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3']",1,8,1e-06,-0.5086117241063354,-0.12167900749634586,-0.14606333374626645,,0.8979304474904292,0.5731011025421505,2.0,-0.12772284510327814,,1.2872428112422711,0.6417974234231807,2.0
4,SS,5,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2']",1,4,1e-06,-0.3137028951730899,0.2686651510775675,0.25601229902008593,0.5589111849538941,0.8660140011177762,0.5726017514723217,1.734831227053878,0.19368421765264832,0.6502096560354088,0.940171711024198,0.8276000189342895,1.8695281675296378
0,SS,6,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7']",1,4,1e-06,-1.189304597429523,0.1653622223261907,0.06905786336382802,0.1932223640293296,0.6656661908501856,0.5658829948806591,1.94075871472819,-0.5082268689972067,-0.02951227460863415,0.47498694190603424,0.4112416161519989,2.0
1,SS,6,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2']",1,2,0.09999999999999999,0.0756407118631447,0.21762798721911292,0.17533760814987576,,0.5764019885100079,0.48769051498171556,2.0,-0.6223189970878,,1.332598445246087,0.8023497259276293,2.0
2,SS,6,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5']",1,4,1e-06,-0.3317464357262318,0.5808721904982662,0.566079444280558,0.786848886258224,0.6859658006044538,0.5173163557345177,1.6291159419104164,-0.17940394232751422,0.4022664963924758,0.9314011545812105,0.8105628749220062,1.4252586655022623
3,SS,6,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3']",1,10,0.01,-0.5787001221946553,0.10793701139335143,0.08456418199754401,0.5446879864499513,0.8518259719893048,0.5566370207554473,1.6970646956009718,0.09911375759208074,0.7133158936753619,1.215990550061867,0.6277806452754168,1.7518471598416132
4,SS,6,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3']",1,"(10, 10)",0.09999999999999999,-0.3184987257504044,0.010178340473484315,-0.010442944099984697,0.5565695131752755,0.981935787862221,0.5879180179573407,1.6793094012553291,-0.0675524058841277,0.6124509199639679,1.0638478305466663,0.8859788026734888,1.8982075754922796
0,SS,7,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6']",1,6,0.09999999999999999,-3.0647338825124977,0.13352440791404208,0.014596385470871387,,0.6630654037805909,0.5651570898789013,2.0,-0.6521597268588195,,0.4741548006989537,0.41022394008452984,2.0
1,SS,7,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3']",1,6,1e-06,-0.011773382379958086,0.16322589916795693,0.10997663820591774,,0.5764019885100079,0.48769051498171556,2.0,-0.6990815596933435,,1.332598445246087,0.8023497259276293,2.0
2,SS,7,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2']",1,10,1e-06,-0.5175770569184015,0.45552829010656004,0.4329762074482518,0.6963221947957496,0.7397868044771627,0.5491167049969761,1.7319032548129822,0.19404391803837906,0.44643071681966856,0.7760950147765495,0.5829927147067938,1.381139969093291
3,SS,7,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3']",1,4,1e-06,-0.5856419832770101,0.18061066814750582,0.1554539781344907,0.5073978606873495,0.8324407482039289,0.5577114628712279,1.7283045810901017,0.12111903390930889,0.5275325477508598,1.2039322325460295,0.6352045735802168,1.8072449383734408
4,SS,7,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5']",1,6,1e-06,-0.35704506306195527,0.2932128856864201,0.27597417558121085,0.57729141768377,0.8535315647270622,0.5749167295208456,1.7151876231404215,0.16804514290220107,0.6327856832106883,0.9465512738527966,0.8401615853922177,1.8667143973345863
0,SS,8,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6', 'TB_B4B5B6']",1,5,0.09999999999999999,-1.7394952998426092,0.09961182754918196,-0.04445028004294893,,0.6630654037805909,0.5651570898789013,2.0,-0.4120260036838952,,0.4741548006989537,0.41022394008452984,2.0
1,SS,8,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3', 'B1_2']",1,10,0.09999999999999999,0.05367453553985428,0.199573081099917,0.14082615127238796,0.34462652375545494,0.5738883905672552,0.48539696652455483,1.955023856420667,-0.5669264370351594,-0.030856063279279474,1.331809565653743,0.7990645808363911,1.976548178942396
2,SS,8,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2', 'B4']",1,2,1e-06,-0.27266572894169794,0.36199468455714134,0.3316134790598624,0.7011474083630054,0.7898023004117624,0.5491717859007632,1.7637636037121158,0.13844783845824915,0.35891309280418005,0.8044859955850822,0.5624047805969766,1.3775477303467596
3,SS,8,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3', 'B4']",1,2,1e-06,-0.41974814153919426,0.21394992617620867,0.18624772093131736,0.5283946665934588,0.8227523240406032,0.5593290104443923,1.7005301939817483,0.1362968149828624,0.5310786565244,1.1922913964665272,0.6313038968121524,1.7481905828959903
4,SS,8,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5', 'B4']",1,10,1e-06,-0.20982222608789725,0.31195324692429394,0.2927071839011972,0.5852208837132581,0.8413374236261383,0.5724631397004113,1.7405235079484482,0.21626987016962607,0.6588252031151223,0.9226157563490043,0.8201673222619791,1.860134217563239
0,SS,9,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6', 'TB_B4B5B6', 'NR_B12B8A']",1,"(2, 2)",1e-06,-1.7360220386391816,0.02720113965358062,-0.15147620204270051,,0.6630654037805909,0.5651570898789013,2.0,-0.3938648678769967,,0.4741548006989537,0.41022394008452984,2.0
